country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166,0.0166,0.0166,0.145,0.0166,0.0166,0.145,0.23,0.23,0.23,0.23,0.22,0.21,0.2,0.19,0.179,0.169,0.159,0.149,0.138,0.128,0.118,0.108,0.0973,0.0871,0.0768,0.0768,0.0768
Algeria,0,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0623,0.0623,0.0623,0,0,0,0,0,0.125,0.125,0.283,0.283,0.276,0.27,0.263,0.246,0.249,0.242,0.236,0.229,0.222,0.205,0.189,0.172,0.155,0.137,0.12,0.11,0.0999,0.0896
Angola,0.0154,0,0,0,0,0,0.00768,0.00768,0.00768,0.00768,0.00768,0.00768,0.00768,0.00768,0.00768,0.00768,0.00768,0.00768,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154,0.0154
Argentina,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192,0.0192
Armenia,,,,,,,,,,,,,,,,,0.128,0,0,0,0.181,0.181,0.181,0.181,0.181,0.17,0.161,0.143,0.155,0.155,0.17,0.17,0.17,0.17,0.17,0.161,0.152,0.143,0.134,0.125,0.181,0.181,0.181,0.181
Australia,0.211,0.211,0.406,0.406,0.406,0.406,0.406,0.382,0.357,0.35,0.338,0.327,0.315,0.303,0.292,0.28,0.269,0.257,0.225,0.192,0.159,0.125,0.105,0.0832,0.211,0.211,0.211,0.211,0.211,0.191,0.169,0.147,0.125,0.105,0.0832,0.0615,0.041,0.041,0.041,0.041,0.041,0.041,0.214,0.214
Austria,0.0423,0.0423,0.0423,0.247,0.247,0.247,0.247,0.247,0.222,0.196,0.17,0.145,0.119,0.0935,0.0679,0.0423,0.0423,0.0423,0.0423,0.193,0.193,0.193,0.193,0.193,0.183,0.174,0.164,0.154,0.143,0.133,0.123,0.113,0.102,0.0922,0.0832,0.073,0.0627,0.0525,0.247,0.247,0.247,0.247,0.247,0.222
Azerbaijan,,,,,,,,,,,,,,,,,0.0854,0,0.0854,0,0.186,0.186,0.186,0.186,0.186,0.176,0.166,0.186,0.186,0.186,0.186,0.186,0.176,0.166,0.186,0.186,0.186,0.186,0.186,0.176,0.166,0.186,0.186,0.186
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.171,0.171,0.16,0.15,0.14,0.13,0.12,0.109,0.099,0.0888,0.0785,0.0683,0.058,0.0478,0.0376
