country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.675,0.517,0.517,0.517,0.517,0.351,0.297,0.297,0.297,0.297,0.5,0.5,0.5,0.5,0.218
Albania,,,,,,,,,,,,,,,,,0.989,0.892,0.892,0.892,0.892,0.895,0.634,0.634,0.634,0.634,0.673,0.673,0.673,0.673,0.59,0.59,0.59,0.59,0.691,0.691,0.691,0.691,0.767,0.767,0.767,0.767,0.685,0.685
Algeria,0,,,,,,,,,,,,,,,,0.601,0.601,0,0,0.801,0.801,0.741,0.741,0.638,0.638,0.638,0.451,0.451,0.536,0.536,0.536,0.32,0.32,0.659,0.659,0.659,0.387,0.387,0.436,0.436,0.436,0.316,0.316
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924,0.924,0.924,0.924,0.716,0.716,0.716,0.716,0.716,0.531,0.531
Argentina,0.75,0.75,0,0,0,0,0,0,0.775,0.775,0.778,0.778,0.801,0.801,0.828,0.828,0.894,0.894,0.781,0.781,0.798,0.798,0.781,0.781,0.794,0.794,0.73,0.73,0.769,0.769,0.707,0.707,0.722,0.722,0.709,0.709,0.773,0.773,0.781,0.781,0.814,0.814,0.777,0.777
Armenia,,,,,,,,,,,,,,,,,,,,,0.506,0.564,0.564,0.612,0.455,0.455,0.455,0.455,0.785,0.785,0.785,0.785,0.652,0.772,0.772,0.772,0.772,0.697,0.742,0.742,0.742,0.742,0.667,0.534
Australia,0.847,0.847,0.845,0.845,0.845,0.84,0.84,0.84,0.812,0.842,0.842,0.842,0.841,0.841,0.841,0.821,0.821,0.821,0.834,0.834,0.834,0.83,0.83,0.822,0.822,0.822,0.842,0.842,0.842,0.824,0.824,0.824,0.824,0.824,0.824,0.81,0.81,0.81,0.789,0.789,0.789,0.79,0.79,0.79
Austria,0.867,0.867,0.867,0.867,0.868,0.867,0.867,0.867,0.869,0.869,0.869,0.871,0.871,0.871,0.871,0.805,0.805,0.757,0.757,0.76,0.786,0.786,0.786,0.686,0.726,0.726,0.726,0.775,0.775,0.665,0.665,0.732,0.732,0.756,0.756,0.478,0.478,0.478,0.693,0.693,0.693,0.627,0.688,0.688
Azerbaijan,,,,,,,,,,,,,,,,,,,0.941,0.941,0.825,0.825,0.825,0.72,0.72,0.612,0.612,0.612,0.634,0.634,0.367,0.367,0.367,0.67,0.67,0.465,0.465,0.465,0.586,0.586,0.405,0.405,0.405,0.538
Bahrain,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745,0.745,0.745,0.745,0.372,0.372,0.372,0.372,0.135,0.135,0.135,0.135,0.184,0.184,0.184,0.184,0.223
Bangladesh,0.55,0,0,0.55,0.473,0.473,0.499,0.499,0,0,0,0.592,0.592,0.485,0.485,0.485,0.615,0.615,0.615,0.615,0.615,0.646,0.646,0.646,0.646,0.646,0.765,0.765,0.765,0.765,0.765,0.765,0,0.789,0.789,0.789,0.789,0.789,0.789,0.485,0.485,0.485,0.485,0.485
Belarus,,,,,,,,,,,,,,,,,,,,0.657,0.549,0.549,0.549,0.549,0.549,0.582,0.813,0.813,0.813,0.824,0.824,0.862,0.862,0.696,0.696,0.696,0.696,0.659,0.659,0.659,0.781,0.668,0.668,0.668
Belgium,0.857,0.857,0.899,0.878,0.878,0.878,0.943,0.943,0.943,0.943,0.863,0.863,0.865,0.865,0.865,0.865,0.851,0.851,0.851,0.851,0.832,0.832,0.832,0.832,0.831,0.831,0.831,0.831,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.933,0.933,0.933,0.933,0.872,0.872,0.872,0.872,0.872
