country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.248,0.248,0.226,0.219,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.252,0.24,0.204,0.227,0.241,0.243,0.243,0.243,0.185,0.101,0.101,0.101,0.101,0.167,0.52,0.52,0.527,0.546,0.546,0.546,0.546,0.546,0.516,0.516,0.516,0.514,0.485,0.485,0.478,0.485,0.466
Albania,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.253,0.442,0.469,0.469,0.469,0.482,0.476,0.511,0.546,0.546,0.546,0.611,0.633,0.656,0.642,0.674,0.674,0.674,0.674,0.649,0.657,0.657,0.657,0.62,0.62,0.62,0.62,0.616,0.595
Algeria,0.101,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.22,0.4,0.447,0.394,0.323,0.342,0.454,0.454,0.468,0.468,0.463,0.424,0.424,0.424,0.424,0.424,0.424,0.424,0.409,0.409,0.409,0.406,0.421,0.427,0.406,0.406,0.421,0.421,0.407,0.416
Angola,0.0573,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.094,0.154,0.205,0.435,0.433,0.433,0.433,0.433,0.441,0.441,0.441,0.441,0.441,0.454,0.454,0.454,0.454,0.454,0.454,0.505,0.505,0.505,0.505,0.496,0.476,0.476,0.476,0.476,0.481,0.511
Argentina,0.553,0.309,0.134,0.134,0.134,0.134,0.181,0.181,0.547,0.761,0.761,0.761,0.769,0.769,0.769,0.779,0.771,0.771,0.771,0.771,0.779,0.779,0.779,0.779,0.771,0.771,0.771,0.771,0.779,0.753,0.775,0.775,0.775,0.766,0.725,0.739,0.739,0.739,0.701,0.701,0.719,0.754,0.74,0.729
Armenia,,,,,,,,,,,,,,,,,0.61,0.612,0.577,0.539,0.504,0.51,0.455,0.538,0.55,0.55,0.55,0.598,0.55,0.55,0.558,0.555,0.516,0.512,0.502,0.494,0.494,0.49,0.505,0.483,0.49,0.5,0.573,0.625
Australia,0.757,0.757,0.757,0.757,0.757,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.752,0.752,0.757,0.757,0.757,0.773,0.773,0.773,0.802,0.802,0.802,0.829,0.829,0.829,0.843,0.843,0.843,0.744,0.744,0.767,0.767,0.718,0.718
Austria,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.773,0.773,0.773,0.773,0.773,0.773,0.773,0.773,0.773,0.773,0.773,0.738,0.724
Azerbaijan,,,,,,,,,,,,,,,,,0.457,0.559,0.476,0.427,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.372,0.357,0.357,0.357,0.357,0.352,0.352,0.357,0.357,0.357,0.363,0.363,0.363,0.368,0.367,0.357
Bahrain,0.131,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0286,0.0867,0.112,0.368,0.376,0.376,0.392,0.392,0.392,0.392,0.392,0.411,0.338,0.316,0.316,0.308,0.289,0.274,0.274,0.265
Bangladesh,0.251,0.262,0.349,0.485,0.516,0.516,0.521,0.489,0.444,0.444,0.444,0.518,0.518,0.513,0.513,0.513,0.594,0.594,0.594,0.594,0.594,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.469,0.512,0.568,0.545,0.545,0.533,0.517,0.502,0.489,0.482,0.496,0.446
Belarus,,,,,,,,,,,,,,,,,0.475,0.579,0.579,0.514,0.493,0.462,0.432,0.432,0.432,0.375,0.372,0.372,0.369,0.369,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.355,0.392,0.392,0.392,0.392,0.392,0.392
Belgium,0.684,0.684,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.684,0.684,0.684,0.684,0.713,0.713,0.713,0.713,0.713,0.713,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.713,0.697,0.703,0.703,0.677,0.677,0.677,0.682,0.682,0.682,0.696,0.691,0.679,0.679,0.679,0.679
Benin,0.0916,0.0916,0.0916,0.0916,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.381,0.54,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.669,0.673,0.673,0.673,0.673,0.664,0.664,0.654,0.654,0.654,0.656,0.668,0.568
Bolivia,0.104,0.104,0.104,0.276,0.312,0.24,0.257,0.382,0.532,0.553,0.67,0.67,0.67,0.67,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.673,0.673,0.673,0.673,0.673,0.673,0.648,0.66,0.66,0.666,0.666,0.666,0.663,0.663,0.663,0.663,0.67,0.637,0.637,0.631,0.601,0.588
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.501,0.501,0.501,0.501,0.594,0.594,0.594,0.594,0.599,0.599,0.594,0.594,0.594,0.594,0.607,0.607,0.607,0.607,0.623,0.623,0.623,0.596,0.587,0.587,0.539,0.522,0.52
Botswana,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.638,0.638,0.638,0.638,0.669,0.693,0.722,0.722,0.722,0.724
Brazil,0.291,0.291,0.291,0.291,0.315,0.415,0.415,0.419,0.419,0.427,0.571,0.669,0.701,0.799,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.837,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.758,0.758,0.758,0.73,0.713,0.657
