country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.351,0.351,0.352,0.231,0.197,0.2,0.224,0.221,0.225,0.227,0.226,0.226,0.226,0.23,0.23,0.206,0.194,0.204,0.188,0.188,0.188,0.0909,0.0559,0.0574,0.0583,0.0545,0.143,0.505,0.519,0.512,0.517,0.518,0.534,0.537,0.533,0.516,0.516,0.511,0.519,0.518,0.518,0.499,0.51,0.552
Albania,0.093,0.0927,0.0912,0.092,0.092,0.0926,0.0901,0.0908,0.0935,0.0915,0.0919,0.0907,0.0918,0.0922,0.0898,0.182,0.623,0.675,0.651,0.654,0.678,0.676,0.692,0.698,0.709,0.727,0.704,0.707,0.708,0.707,0.712,0.707,0.712,0.712,0.712,0.707,0.709,0.71,0.641,0.648,0.647,0.65,0.691,0.623
Algeria,0.337,0.337,0.339,0.341,0.344,0.361,0.361,0.361,0.359,0.359,0.36,0.362,0.359,0.361,0.396,0.532,0.526,0.521,0.508,0.507,0.507,0.506,0.507,0.509,0.554,0.561,0.565,0.562,0.565,0.563,0.58,0.58,0.579,0.582,0.579,0.57,0.566,0.525,0.571,0.564,0.561,0.525,0.552,0.557
Angola,0.188,0.194,0.193,0.194,0.193,0.195,0.193,0.193,0.195,0.194,0.192,0.203,0.205,0.202,0.204,0.233,0.265,0.348,0.347,0.344,0.327,0.346,0.345,0.341,0.346,0.344,0.353,0.394,0.429,0.437,0.465,0.48,0.462,0.46,0.458,0.46,0.46,0.458,0.472,0.47,0.471,0.471,0.506,0.53
Argentina,0.517,0.236,0.142,0.144,0.144,0.144,0.143,0.173,0.335,0.821,0.819,0.823,0.836,0.837,0.822,0.825,0.83,0.824,0.806,0.825,0.822,0.815,0.818,0.814,0.817,0.838,0.832,0.824,0.78,0.798,0.803,0.805,0.801,0.793,0.779,0.768,0.77,0.774,0.776,0.776,0.765,0.835,0.824,0.818
Armenia,,,,,,,,,,,,,,,,,0.687,0.683,0.679,0.645,0.639,0.638,0.653,0.643,0.664,0.653,0.654,0.653,0.65,0.633,0.631,0.633,0.606,0.561,0.611,0.606,0.6,0.6,0.601,0.604,0.595,0.6,0.618,0.702
Australia,0.903,0.898,0.898,0.896,0.897,0.903,0.902,0.903,0.902,0.903,0.901,0.902,0.902,0.901,0.904,0.916,0.916,0.914,0.898,0.916,0.915,0.916,0.915,0.915,0.914,0.917,0.915,0.922,0.921,0.921,0.921,0.92,0.921,0.903,0.922,0.922,0.922,0.921,0.861,0.86,0.879,0.878,0.805,0.82
Austria,0.87,0.905,0.904,0.905,0.905,0.906,0.902,0.903,0.904,0.905,0.906,0.907,0.902,0.905,0.904,0.913,0.913,0.913,0.897,0.896,0.895,0.895,0.899,0.897,0.898,0.903,0.903,0.902,0.902,0.902,0.902,0.902,0.902,0.903,0.902,0.891,0.905,0.905,0.858,0.858,0.857,0.875,0.871,0.797
Azerbaijan,,,,,,,,,,,,,,,,,0.424,0.535,0.506,0.408,0.407,0.408,0.408,0.434,0.436,0.429,0.43,0.417,0.41,0.408,0.402,0.401,0.4,0.399,0.385,0.385,0.385,0.381,0.352,0.34,0.339,0.344,0.353,0.337
Bahrain,0.428,0.346,0.347,0.346,0.346,0.332,0.331,0.332,0.332,0.331,0.333,0.331,0.331,0.334,0.331,0.326,0.324,0.325,0.327,0.326,0.327,0.327,0.324,0.325,0.326,0.381,0.476,0.492,0.493,0.495,0.497,0.497,0.494,0.496,0.492,0.463,0.21,0.23,0.23,0.229,0.203,0.197,0.089,0.0908
Bangladesh,0.358,0.389,0.487,0.493,0.504,0.518,0.523,0.406,0.387,0.392,0.393,0.465,0.465,0.464,0.439,0.438,0.583,0.59,0.591,0.593,0.59,0.572,0.574,0.572,0.573,0.571,0.573,0.571,0.572,0.574,0.572,0.565,0.475,0.48,0.513,0.51,0.506,0.497,0.486,0.475,0.477,0.479,0.463,0.468
Belarus,,,,,,,,,,,,,,,,,0.709,0.743,0.743,0.74,0.693,0.605,0.567,0.535,0.491,0.462,0.451,0.442,0.434,0.432,0.434,0.414,0.412,0.416,0.424,0.411,0.405,0.385,0.44,0.445,0.441,0.478,0.48,0.454
Belgium,0.824,0.824,0.824,0.824,0.823,0.833,0.833,0.834,0.833,0.834,0.832,0.835,0.834,0.835,0.852,0.891,0.886,0.889,0.891,0.889,0.903,0.903,0.902,0.902,0.903,0.902,0.904,0.904,0.903,0.905,0.903,0.886,0.886,0.916,0.918,0.917,0.918,0.92,0.892,0.892,0.891,0.892,0.878,0.863
Benin,0.292,0.289,0.29,0.29,0.289,0.291,0.291,0.29,0.291,0.289,0.293,0.289,0.29,0.29,0.308,0.706,0.754,0.796,0.799,0.796,0.798,0.797,0.784,0.785,0.786,0.78,0.784,0.793,0.775,0.792,0.774,0.727,0.712,0.71,0.711,0.749,0.741,0.745,0.773,0.786,0.798,0.797,0.789,0.757
Bolivia,0.191,0.191,0.191,0.228,0.355,0.145,0.191,0.474,0.685,0.685,0.735,0.729,0.728,0.728,0.726,0.737,0.736,0.735,0.737,0.736,0.736,0.734,0.736,0.734,0.736,0.735,0.737,0.736,0.727,0.745,0.755,0.719,0.714,0.697,0.697,0.69,0.691,0.685,0.683,0.675,0.692,0.68,0.682,0.708
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.415,0.416,0.417,0.414,0.57,0.594,0.594,0.612,0.662,0.67,0.678,0.679,0.695,0.694,0.678,0.678,0.676,0.676,0.676,0.676,0.676,0.674,0.656,0.658,0.619,0.62,0.56
Botswana,0.728,0.737,0.738,0.74,0.739,0.739,0.744,0.747,0.744,0.747,0.748,0.749,0.748,0.746,0.747,0.745,0.747,0.746,0.746,0.746,0.747,0.748,0.749,0.75,0.749,0.746,0.748,0.746,0.748,0.757,0.757,0.757,0.762,0.752,0.751,0.743,0.745,0.755,0.682,0.683,0.686,0.681,0.731,0.724
Brazil,0.221,0.27,0.273,0.27,0.376,0.411,0.409,0.41,0.411,0.418,0.544,0.614,0.626,0.75,0.757,0.769,0.786,0.798,0.779,0.798,0.802,0.804,0.801,0.803,0.804,0.803,0.805,0.794,0.796,0.792,0.818,0.818,0.819,0.819,0.819,0.82,0.821,0.81,0.822,0.793,0.784,0.68,0.675,0.648
