country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.484,0.481,0.482,0.408,0.266,0.265,0.29,0.291,0.292,0.29,0.293,0.29,0.293,0.315,0.317,0.281,0.3,0.304,0.29,0.289,0.271,0.23,0.216,0.216,0.218,0.218,0.281,0.623,0.643,0.643,0.614,0.612,0.614,0.612,0.612,0.577,0.576,0.576,0.594,0.595,0.596,0.535,0.541,0.571
Albania,0.0758,0.076,0.078,0.0762,0.0769,0.0749,0.0751,0.0791,0.076,0.0764,0.0748,0.0749,0.0767,0.0769,0.0782,0.233,0.803,0.83,0.83,0.832,0.831,0.831,0.831,0.832,0.83,0.83,0.83,0.846,0.856,0.857,0.856,0.855,0.857,0.858,0.854,0.864,0.891,0.889,0.864,0.865,0.864,0.863,0.839,0.864
Algeria,0.666,0.666,0.666,0.666,0.665,0.671,0.675,0.678,0.675,0.674,0.65,0.647,0.675,0.672,0.658,0.652,0.652,0.651,0.652,0.654,0.656,0.628,0.626,0.627,0.643,0.658,0.659,0.656,0.659,0.685,0.728,0.727,0.726,0.727,0.7,0.702,0.701,0.643,0.661,0.661,0.663,0.681,0.74,0.711
Angola,0.342,0.41,0.41,0.41,0.409,0.41,0.409,0.408,0.411,0.41,0.408,0.41,0.41,0.407,0.409,0.44,0.438,0.513,0.5,0.5,0.471,0.475,0.473,0.474,0.472,0.477,0.492,0.598,0.646,0.641,0.694,0.692,0.692,0.69,0.693,0.692,0.693,0.692,0.635,0.634,0.631,0.62,0.656,0.63
Argentina,0.747,0.698,0.697,0.698,0.697,0.697,0.696,0.698,0.764,0.885,0.885,0.886,0.886,0.885,0.885,0.859,0.931,0.928,0.93,0.933,0.929,0.931,0.929,0.932,0.929,0.928,0.929,0.928,0.928,0.929,0.929,0.931,0.928,0.928,0.93,0.936,0.941,0.942,0.941,0.943,0.939,0.867,0.895,0.889
Armenia,,,,,,,,,,,,,,,,,0.837,0.814,0.816,0.814,0.84,0.812,0.84,0.841,0.84,0.842,0.838,0.839,0.84,0.839,0.843,0.84,0.842,0.821,0.799,0.772,0.771,0.776,0.791,0.791,0.822,0.891,0.89,0.89
Australia,0.85,0.846,0.85,0.848,0.848,0.853,0.849,0.85,0.852,0.848,0.85,0.85,0.851,0.852,0.851,0.85,0.85,0.85,0.849,0.851,0.848,0.852,0.85,0.849,0.851,0.849,0.853,0.851,0.851,0.854,0.852,0.854,0.85,0.851,0.851,0.869,0.871,0.872,0.836,0.829,0.812,0.825,0.805,0.802
Austria,0.906,0.93,0.931,0.932,0.932,0.93,0.93,0.929,0.931,0.931,0.93,0.932,0.93,0.929,0.933,0.932,0.93,0.931,0.93,0.932,0.929,0.93,0.929,0.932,0.932,0.929,0.933,0.931,0.928,0.931,0.93,0.93,0.931,0.931,0.929,0.931,0.927,0.93,0.915,0.915,0.912,0.916,0.878,0.892
Azerbaijan,,,,,,,,,,,,,,,,,0.652,0.77,0.713,0.751,0.772,0.773,0.774,0.75,0.747,0.75,0.75,0.751,0.719,0.722,0.719,0.695,0.696,0.693,0.693,0.687,0.688,0.68,0.709,0.691,0.716,0.684,0.683,0.624
Bahrain,0.581,0.578,0.578,0.583,0.58,0.579,0.581,0.577,0.583,0.582,0.58,0.58,0.582,0.581,0.581,0.582,0.581,0.581,0.581,0.58,0.581,0.581,0.579,0.582,0.581,0.581,0.606,0.606,0.609,0.604,0.606,0.605,0.606,0.606,0.591,0.594,0.45,0.435,0.433,0.471,0.467,0.468,0.47,0.466
