country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.476,0.476,0.465,0.378,0.296,0.379,0.373,0.374,0.376,0.376,0.376,0.374,0.398,0.413,0.45,0.416,0.437,0.356,0.414,0.415,0.417,0.342,0.276,0.278,0.277,0.28,0.28,0.479,0.496,0.497,0.496,0.496,0.498,0.496,0.494,0.497,0.492,0.49,0.493,0.492,0.492,0.483,0.477,0.443
Albania,0.00461,0.000331,0.00353,0.00417,0.00306,0.00283,0.00385,0.00112,0,0.00221,0.000402,0.0019,0.00312,0.00175,0.02,0.406,0.686,0.709,0.707,0.746,0.707,0.71,0.747,0.843,0.824,0.851,0.854,0.854,0.85,0.853,0.873,0.872,0.911,0.908,0.909,0.908,0.907,0.908,0.892,0.897,0.892,0.891,0.857,0.897
Algeria,0.416,0.416,0.416,0.418,0.451,0.449,0.451,0.451,0.452,0.451,0.451,0.454,0.451,0.487,0.439,0.431,0.343,0.345,0.42,0.421,0.423,0.42,0.421,0.424,0.43,0.413,0.414,0.447,0.449,0.417,0.412,0.415,0.418,0.41,0.416,0.415,0.412,0.403,0.421,0.426,0.426,0.434,0.439,0.416
Angola,0.496,0.476,0.475,0.472,0.473,0.479,0.478,0.478,0.516,0.517,0.517,0.517,0.478,0.479,0.478,0.524,0.565,0.644,0.678,0.679,0.643,0.641,0.68,0.679,0.678,0.682,0.679,0.661,0.662,0.662,0.66,0.659,0.658,0.652,0.653,0.704,0.703,0.706,0.6,0.6,0.598,0.602,0.603,0.602
Argentina,0.802,0.687,0.685,0.684,0.687,0.686,0.685,0.684,0.721,0.847,0.849,0.883,0.882,0.887,0.886,0.883,0.883,0.854,0.85,0.89,0.887,0.89,0.888,0.889,0.89,0.889,0.886,0.893,0.89,0.888,0.894,0.887,0.89,0.888,0.891,0.887,0.888,0.907,0.905,0.865,0.86,0.843,0.885,0.885
Armenia,,,,,,,,,,,,,,,,,0.681,0.718,0.682,0.68,0.679,0.682,0.622,0.655,0.655,0.657,0.658,0.655,0.659,0.655,0.657,0.66,0.655,0.653,0.658,0.653,0.659,0.657,0.69,0.695,0.683,0.685,0.688,0.697
Australia,0.901,0.903,0.902,0.901,0.901,0.877,0.879,0.88,0.882,0.878,0.877,0.879,0.879,0.88,0.878,0.874,0.876,0.873,0.874,0.874,0.873,0.87,0.872,0.874,0.853,0.904,0.904,0.904,0.906,0.905,0.907,0.905,0.903,0.941,0.94,0.94,0.941,0.939,0.918,0.916,0.909,0.908,0.904,0.904
Austria,0.903,0.9,0.9,0.9,0.905,0.902,0.901,0.9,0.902,0.902,0.9,0.905,0.902,0.901,0.901,0.9,0.903,0.904,0.902,0.902,0.903,0.902,0.899,0.9,0.899,0.899,0.903,0.9,0.9,0.903,0.902,0.903,0.902,0.89,0.89,0.852,0.89,0.889,0.862,0.865,0.822,0.819,0.752,0.778
Azerbaijan,,,,,,,,,,,,,,,,,0.44,0.609,0.634,0.579,0.576,0.543,0.544,0.544,0.534,0.594,0.596,0.593,0.595,0.476,0.477,0.475,0.478,0.472,0.482,0.484,0.491,0.492,0.453,0.453,0.438,0.435,0.439,0.483
Bahrain,0.647,0.645,0.646,0.643,0.637,0.524,0.519,0.522,0.489,0.487,0.487,0.525,0.525,0.523,0.527,0.526,0.522,0.525,0.523,0.524,0.525,0.525,0.524,0.524,0.525,0.54,0.542,0.533,0.534,0.534,0.533,0.496,0.492,0.531,0.533,0.532,0.283,0.273,0.275,0.263,0.264,0.271,0.266,0.268
Bangladesh,0.776,0.795,0.796,0.792,0.793,0.794,0.797,0.798,0.794,0.795,0.796,0.795,0.796,0.795,0.794,0.797,0.796,0.797,0.796,0.797,0.794,0.877,0.864,0.861,0.861,0.817,0.795,0.712,0.712,0.678,0.678,0.68,0.784,0.781,0.705,0.695,0.727,0.727,0.682,0.684,0.649,0.641,0.614,0.618
