country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064,0.00587,0.00587,0.00587,0.00587,0.00587,0.00587,0.00587,0.0807,0.0807,0.0807,0.0739,0.0158,0.19
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403,0.548,0.509,0.509,0.509,0.468,0.405,0.405,0.438,0.468,0.508,0.521,0.56,0.56,0.654,0.654,0.609,0.651,0.651,0.651,0.611,0.59,0.681,0.712,0.712,0.708,0.741,0.71
Algeria,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,0.115,0.115,0.0859,0.0859,0.0859,0.0859,0.0859,0.0937,0.0937,0.0937,0.0824,0.0824,0.106,0.106,0.106,0.106,0.107,0.107,0.107,0.126,0.135,0.135,0.135,0.0276,0.0277,0.0278,0.0388,0.0266,0.0248
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0.688,,,,,,,,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.728,0.655,0.655,0.655,0.675,0.674,0.674,0.698,0.691,0.713
Armenia,,,,,,,,,,,,,,,,,0,0.29,0.29,0.197,0.174,0.181,0.181,0.188,0.158,0.154,0.154,0.133,0.133,0.133,0.131,0.14,0.128,0.105,0.102,0.102,0.102,0.109,0.0938,0.209,0.0644,0.25,0.331,0.648
Australia,0.759,0.759,0.759,0.759,0.759,0.759,0.73,0.73,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.871,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.876,0.843,0.843,0.841,0.841,0.807,0.802
Austria,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.729,0.831,0.831,0.814,0.814,0.814,0.814,0.808,0.813
Azerbaijan,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.0336,0.0164,0.0164,0.0164,0.0164,0.0254,0.0254,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231,0.0231,0.0254,0.0254,0.0254,0.00428,0.00496,0.00413
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0107,0.0107,0.0107,0.0106
Bangladesh,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.394,0.394,0.394,0.394,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.415,0.437,0.437,0.437,0.437,0.348,0.435,0.435,0.435,0.435,0.416,0.385,0.385,0.385,0.402,0.333,0.335,0.295,0.354,0.28
Belarus,,,,,,,,,,,,,,,,,0.319,0.342,0.342,0.34,0.191,0.125,0.00627,0.00627,0.00627,0.00626,0.00626,0.00626,0.00626,0.00532,0.00375,0.00375,0.00375,0.00375,0.00375,0.00375,0.00342,0.0465,0.0465,0.0465,0.0465,0.0336,0.0343,0.017
Belgium,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.881,0.84,0.84,0.84,0.84,0.84,0.811
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.561,0.525,0.525,0.58,0.582,0.649,0.679,0.737,
Bolivia,0,0,0,0,0,0,0,0,0,0,0.246,0.246,0.43,0.43,0.421,0.44,0.44,0.44,0.44,0.497,0.583,0.576,0.576,0.576,0.549,0.675,0.675,0.675,0.675,0.737,0.737,0.737,0.737,0.737,0.671,0.741,0.741,0.741,0.765,0.765,0.651,0.807,0.803,0.795
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,0.555,0.555,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.59,0.59,0.584,0.593,0.595,0.6,0.613,0.602,0.602,0.602,0.629,0.565,0.503
Botswana,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.664,0.664,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.807,0.805,0.805,0.805,0.748,0.748,0.716,0.768,0.74,0.747,0.747,0.706,0.675
