country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.314,0.314,0.314,0.36,0.469,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.466,0.421,0.421,0.319,0.278,0.278,0.278,0.236,0.259,0.259,0.259,0.259,0.269,0.393,0.367,0.367,0.386,0.386,0.386,0.386,0.378,0.378,0.378,0.378,0.342,0.342,0.354,0.3,0.29,0.286
Albania,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.63,0.63,0.63,0.63,0.63,0.63,0.627,0.563,0.55,0.55,0.546,0.546,0.516,0.534,0.511,0.504,0.507,0.507,0.507,0.507,0.507,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.519,0.519,0.519,0.519,0.499,0.507
Algeria,0.54,0.54,0.554,0.554,0.556,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.54,0.54,0.54,0.558,0.543,0.528,0.55,0.549,0.549,0.549,0.547,0.523,0.523,0.523,0.523,0.523,0.523,0.524,0.524,0.514,0.501,0.463,0.463,0.453,0.442,0.478,0.478,0.478,0.483,0.522,0.471
Angola,0.161,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.118,0.118,0.118,0.118,0.118,0.118,0.178,0.178,0.252,0.234,0.234,0.234,0.23,0.23,0.23,0.23,0.224,0.219,0.192,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.207,0.207,0.207,0.207,0.198,0.26
Argentina,0.575,0.42,0.416,0.416,0.416,0.416,0.416,0.416,0.452,0.63,0.63,0.63,0.63,0.63,0.63,0.625,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.614,0.614,0.614,0.614,0.614,0.612,0.612,0.609,0.609,0.609,0.609,0.609,0.607,0.572,0.572,0.572,0.584,0.528,0.569
Armenia,,,,,,,,,,,,,,,,,0.69,0.683,0.683,0.69,0.66,0.644,0.642,0.626,0.613,0.596,0.578,0.566,0.566,0.547,0.547,0.547,0.545,0.545,0.49,0.492,0.492,0.492,0.504,0.504,0.539,0.545,0.549,0.633
Australia,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.666,0.689,0.689,0.689,0.689,0.689,0.689,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.651,0.651,0.651,0.651,0.651,0.674,0.674,0.674,0.674,0.674,0.651,0.651,0.651,0.665,0.665,0.665,0.665,0.665,0.674
Austria,0.835,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.861,0.861,0.819,0.819,0.829,0.829,0.829,0.829,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.78,0.78,0.78,0.78,0.78,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.739,0.739,0.739,0.739,0.725,0.745
Azerbaijan,,,,,,,,,,,,,,,,,0.558,0.612,0.587,0.403,0.403,0.403,0.403,0.403,0.399,0.384,0.386,0.386,0.386,0.392,0.376,0.376,0.376,0.38,0.374,0.374,0.374,0.374,0.388,0.388,0.388,0.343,0.34,0.333
Bahrain,0.193,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.139,0.139,0.147,0.139,0.139,0.139,0.139,0.139,0.195,0.195,0.216,0.216,0.216,0.216,0.223,0.223,0.217,0.217,0.216,0.138,0.129,0.129,0.129,0.129,0.129,0.129,0.129
Bangladesh,0.346,0.327,0.327,0.327,0.311,0.311,0.311,0.327,0.327,0.32,0.32,0.305,0.305,0.305,0.305,0.305,0.298,0.298,0.298,0.302,0.302,0.298,0.302,0.307,0.307,0.307,0.302,0.296,0.296,0.296,0.298,0.314,0.308,0.308,0.314,0.314,0.314,0.314,0.283,0.266,0.266,0.257,0.233,0.236
Belarus,,,,,,,,,,,,,,,,,0.562,0.59,0.59,0.594,0.574,0.571,0.563,0.562,0.562,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.549,0.62,0.62,0.62,0.658,0.678,0.612
Belgium,0.804,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.791,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.784,0.784,0.788,0.784,0.788,0.788,0.788,0.788,0.784,0.784,0.784,0.784,0.784,0.784,0.738,0.738,0.738,0.738,0.738,0.738
Benin,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.721,0.689,0.689,0.694,0.694,0.694,0.694,0.694,0.682,0.682,0.693,0.7,0.638,0.64
Bolivia,0.313,0.313,0.313,0.313,0.363,0.346,0.352,0.423,0.425,0.427,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.465,0.465,0.465,0.465,0.468,0.468,0.477,0.483,0.483,0.483,0.483,0.483,0.578,0.578,0.578,0.578,0.573,0.573,0.562,0.585,0.583,0.612,0.608,0.608,0.604
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,0.376,0.391,0.396,0.396,0.464,0.464,0.459,0.459,0.484,0.495,0.49,0.524,0.519,0.519,0.519,0.507,0.528,0.528,0.53,0.529,0.529,0.512,0.512,0.483,0.507,0.507,0.506
Botswana,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.435,0.436,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.446,0.459,0.459,0.459,0.459,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.493,0.493,0.507,0.48,0.48,0.466,0.466,0.483,0.477
